Name,Total Debt,Company Market Cap
Microsoft,89323000000,2773175434722.96
Alphabet,51043000000,3570805910000.0
Amazon,89295000000,2251864350899.9
Meta,59928000000,1453128431849.44
Oracle,95525000000,420995613480.0
Equinix,21267000000,98659977690.19
DigitalRealty,18742765000,62431490020.36
IronMountain,16431959000,30729561796.1
JPMorgan,924219000000,794545737675.0
JohnsonJohnson,47933000000,585389356745.76
ProcterGamble,34508000000,332610978037.2
Walmart,51523000000,1002848510600.79
Coca-Cola,45492000000,330214608723.44
,61260000000,232782617696.64
BankOfAmerica,767072010240,354384576512.0
Citigroup,777180020736,201609019392.0
WellsFargo,443507998720,248702222336.0
AXA,60343001088,83263152128.0
Allianz,35275001856,139891113984.0
GoldmanSachs,747582980096,256109641728.0
Pfizer,67647000576,161094254592.0
Merck,50533998592,298838032384.0
AbbVie,68400001024,369388322816.0
UnitedHealth,83003998208,251662204928.0
CVSHealth,79949996032,93494788096.0
Target,20290000896,54546452480.0
Kroger,24692000768,44422897664.0
Carrefour,21071998976,11459795968.0
ATT,159560007680,198326353920.0
Verizon,184813993984,208353607680.0
DeutscheTelekom,146722996224,148865957888.0
Comcast,105032998912,101773975552.0
Vodafone,53906001920,35113492480.0
